Nome do jogo;Gênero;Desenvolvedora;Console;Data de conclusão;Tempo (em float);Ano de lançamento
Call of Duty 4: Modern Warfare;Tiro em Primeira Pessoa;Infinity Yard/ Activision;PC;;7;2007
Call of Duty: Modern Warfare 2 ;Tiro em Primeira Pessoa;Infinity Yard/ Activision;PC;;6,5;2009
BulletStorm;Tiro em Primeira Pessoa;EA Games;PC;;7,5;2011
Call of Duty: Black Ops ;Tiro em Primeira Pessoa;Infinity Yard/ Activision;PC;;7;2010
007: Legends;Tiro em Primeira Pessoa;Eurocom/ Activision;PC;;7;2012
007: Quantum of Solace;Tiro em Primeira Pessoa;Beenox/ Activision;PC;;7;2008
007 James Bond: Blood Stone;Tiro em Primeira Pessoa;Bizarre Creations/ Activision;PC;;7;2010
Disney's G'Force;Tiro em Terceira Pessoa;Disney Interactive;PC;;9;2009
Sonic Generations;Aventura;SEGA;PC;;6;2011
Devil May Cry 4;Hack and Slash;Capcom;PC;;13;2008
DMC: Devil May Cry;Hack and Slash;Capcom;PC;;12;2013
Batman: Arkham Asylum;Aventura;Rocksteady;PC;;11;2009
Braid;Plataforma;Jogo Indie;PC;;5;2008
Minecraft;Explora��o;Mojang;PC;;80;2011
Onimusha 3: Demon Siege;Hack and Slash;Capcom;PC;;12;2005
Remember Me;Hack and Slash;Capcom;PC;;10;2013
Burnout: Paradise;Corrida;EA Games;PC;;13;2008
Harry Potter and the Deathly Hallow Pt.1;Aventura;EA Games;PC;;5;2010
Harry Potter and the Half-Blood Prince;Aventura;EA Games;PC;;6;2009
Spec Ops: The Line;Tiro em Terceira Pessoa;2K Games;PC;;7;2012
Mirror's Edge;Tiro em Primeira Pessoa;EA Games;PC;;6;2008
Sonic The Hedgehog;Plataforma;SEGA;Sega MegaDrive;12/08/23;2;1991
Sonic The Hedgehog 2;Plataforma;SEGA;Sega MegaDrive;;3;1992
Asphalt 6: Adrenaline;Corrida;Gameloft;Mobile;;8;2010
God of War: Betrayal;Hack and Slash;Santa Monica Studios;Mobile;;2;2007
Metal Gear Solid: Peace Walker;Tiro em Terceira Pessoa;Kojima Productions/KONAMI;PlayStation 3;;18;2010
Disney's The Lion King;Plataforma;Disney Interactive;Super Nintendo;;2,5;1994
Contra III - The Alien Wars;Run and Gun;KONAMI;Super Nintendo;;2;1992
Driver 2: The Whellman is Back;Corrida;Reflections Game;PlayStation;;16;2000
Dragon Ball: Advanced Adventure;Plataforma;Bandai Games;Gameboy Advanced;;4;2004
Frogger;Plataforma;Hasbro Interactive;PlayStation;;8;1997
Portal;Tiro em Primeira Pessoa;Valve;PC;;3;2007
Shovel Knight: Shovel of Hope;Plataforma;Yacht Club Games;PC;;7;2014
Resident Evil 3: Nemesis;Survival Horror;Capcom;PlayStation;;7;1999
Undertale;RPG;Toby Fox;PC;;5;2015
007 - The World Is Not Enough;Tiro em Primeira Pessoa;Eurocom/ Activision;Nintendo 64;;5;2000
Gex: Enter The Gecko;Plataforma;Eidos Interactive;PlayStation;;9;1998
Mario Kart 64;Corrida;Nintendo;Nintendo 64;;5;1996
Ratchet: Deadlocked;Aventura;Insomniac Games;PlayStation 3;;8;2005
