Nome do gênero
Ação
Aventura
Beat 'em Up
Combate Veicular
Corrida
Dungeon Crawler
Exploração
Tiro em Primeira Pessoa
Esportes - Futebol
Esportes - MMA
Simulador
Hack and Slash
Luta
Metroidvania
Plataforma
Point and Click
Puzzle
RPG
RPG de Ação
Run and Gun
Shmup
Survival Horror
Tiro em Terceira Pessoa
Visual Novel
Rogue-lite
Shoot 'Em Up
RPG Tático
Bullet Hell
Looter Shooter
RPG de Tiro em Terceira Pessoa
Runner
Souls-like
Hero Shooter
Estratégia em Tempo Real
Jogo de Cartas
Boomer Shooter
Rogue-like Tradicional
On-Rails Shooter
Roguevania
Arcade
Rogue-like
Jogo Narrativo
J-RPG
Simulador de Vida
RPG de Estratégia
RTS
Jogo de Tabuleiro
Tower Defense
Ritmo
MMORPG
